"ASV_ID"	"Taxon"	"Confidence"	"Taxon_Lv1"	"Taxon_Lv2"	"Taxon_Lv3"	"Taxon_Lv4"	"Taxon_Lv5"	"Taxon_Lv45"	"Ave_EPI_CA"	"Max_EPI_CA"	"Ave_MES_CA"	"Max_MES_CA"	"Ave_EPI_CF"	"Max_EPI_CF"	"Ave_MES_CF"	"Max_MES_CF"	"MPI"	"Levin_EPI"	"Levin_MES"	"logFC_EPI"	"logCPM_EPI"	"EPI"	"logFC_MES"	"logCPM_MES"	"MES"	"logFC_EEI"	"logCPM_EEI"	"EEI"
"e4f7be9dbbe3a3362ede9f6a6585aefd"	"Eukaryota"	0.984333464	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0.04791714970245	0.398021485431641	0	0	0	0	0	0	-1	0.013499765954127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2d970fb3cec36c7347686c13fbcf6591"	"Eukaryota"	0.979168839	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0185485740783677	0.0927428703918386	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40ff96bfdcb19effb54a7c591ac1184e"	"Eukaryota"	0.993745859	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0100471442924492	0.0502357214622459	0	0	0.00772857253265322	0.0386428626632661	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"a9b87476b0d8905d8697268608c945c6"	"Eukaryota"	0.992399317	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.023958574851225	0.069557152793879	0	0	0	0	1	NA	0.0327341400293768	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5d485b7ea096e6ac24a011f1393db7e9"	"Eukaryota"	0.996927131	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0	0	0.0069557152793879	0.0347785763969395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bd485c6966f19adf8444bbca38528fb5"	"Eukaryota"	0.987088398	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0711028673004096	0.274364324909189	0	0	0.0069557152793879	0.019321431331633	1	NA	0.018757312332524	0	7.579186925	"nonDEG"	-1.104917516	7.579186925	"nonDEG"	-6.469766172	7.579186925	"Down"
"34c10b7e19ea14a0e43234a674adf03e"	"Eukaryota"	0.995944916	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0293685756240822	0.146842878120411	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"a6cab33a6e56e50fb3ad5b819fa68b01"	"Eukaryota"	0.987572618	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0448257206893887	0.181621454517351	0	0	0	0	1	NA	0.0153026491046322	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120bc7a5231b521e2a3fc8408077dcca"	"Eukaryota"	0.988906646	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0.0119792874256125	0.119792874256125	0.0231857175979597	0.115928587989798	0.00656928665275524	0.0541000077285725	0	0	0.318681318681319	NA	NA	0.499675204	7.538281208	"nonDEG"	-4.996844131	7.538281208	"nonDEG"	-0.721714171	7.538281208	"nonDEG"
"dbe7321408a1f5f75c42f44807844612"	"Eukaryota"	0.98146453	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.019321431331633	0.0502357214622459	0	0	0	0	1	NA	0.0343725900627961	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37fbfc25a1b4f6ba4030ccb3695e639e"	"Eukaryota"	0.995564236	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0.0131385733055105	0.115928587989798	0	0	0	0	0	0	-1	0.00903478391808463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03488e8be6893824077f9f68f2fb63c7"	"Eukaryota"	0.989835785	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0293685756240822	0.146842878120411	0	0	0.00927428703918386	0.0463714351959193	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ff46b2755a0201cb2792f380b4875d7f"	"Eukaryota"	0.999994578	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.00154571450653064	0.00772857253265322	0	0	0.0069557152793879	0.019321431331633	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8453f0c6aec5599a6c2fffeb67b5b7b6"	"Eukaryota"	0.993616387	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0	0	0.0131385733055105	0.0386428626632661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"701253755e7227b094cded8d9caeacde"	"Eukaryota"	0.99608359	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0208671458381637	0.104335729190818	0	0	0.0115928587989798	0.0579642939948991	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25c32711e90d731394d68ec36974e408"	"Eukaryota"	0.995673029	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.00541000077285725	0.0115928587989798	0	0	0	0	1	NA	0.0544464609800363	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04870bd3088d9510835d3ee4991734d0"	"Eukaryota"	0.98031083	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0255042893577556	0.127521446788778	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"a4f2e6a7f111a02db67daa5c73a2c914"	"Eukaryota"	0.987620929	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0316871473838782	0.088878584125512	0	0	0	0	1	NA	0.0334721267736589	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3753d8756d9732afcb03e51ddf3fbbd4"	"Eukaryota"	0.988030415	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0448257206893887	0.146842878120411	0	0	0	0	1	NA	0.0284239658912409	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8b6895f2ad568ea12e5aafcd28d4bde9"	"Eukaryota"	0.99792316	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0146842878120411	0.0734214390602056	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04d36bd034b80bb5aa6a190b95269a08"	"Eukaryota"	0.993243666	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0100471442924492	0.0502357214622459	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8acc2462974e938afb458b9e1a2cbdbc"	"Eukaryota"	0.992797616	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0	0	0.00463714351959193	0.0231857175979597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"745139d39e305a580cf969614098960d"	"Eukaryota"	0.999937594	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.00386428626632661	0.019321431331633	0	0	0.0069557152793879	0.0231857175979597	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"c1ee5b44b3283e20a32e46113ca7abf5"	"Eukaryota"	0.997400454	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0154571450653064	0.0772857253265322	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"e36c667ad24e01817f187494e1bb3af0"	"Eukaryota"	0.998231744	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0.00502357214622459	0.0502357214622459	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2fea436c37bf05006aecdccb0c0cb838"	"Eukaryota"	0.995610589	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0	0	0.00386428626632661	0.019321431331633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2fe28d58c41f45eaacd26647a5c15cf4"	"Eukaryota"	0.996170063	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.00618285802612257	0.0309142901306129	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
